Пивоварня,Стиль,Плотность,Алкоголь,Горечь,Хмель,Начало выпуска,Рейтинг,Пиво,Солод,Производство,Подрядчик,Добавки,Ссылка
Beer Hop Brothers,Stout - Milk / Sweet,,"5,5%",26 IBU,,01.08.2020,"3,464",Млечный Путь (Milky Way),,,,,https://your.beer/beer/beer-hop-brothers-mlechnyj-put-milky-way
Beer Hut Brewing Co.,Sour - Fruited,,"4,0%",,,19.08.2021,"3,583",Superstylin',,,,,https://your.beer/beer/beer-hut-brewing-co-superstylin
Beer Insiders / Бир Инсайдерс,IPA - Milkshake,,"5,5%",30 IBU,,24.08.2019,"3,77",Milk of Amnesia,,,,,https://your.beer/beer/beer-insiders-bir-insajders-milk-of-amnesia
Beer Market,Shandy / Radler,,"6,0%",,,21.03.2021,N/A,Апероль Шпріц,,,,,https://your.beer/beer/beer-market-aperol-shpric
"Hops Farm Brewery, Beer Mood",IPA - Other,,"5,2%",60 IBU,,22.07.2017,"3,628",Drunken Sailor,,,,,https://your.beer/beer/hops-farm-brewery-drunken-sailor
Beer Mood,Lager - Amber,,"4,5%",,,30.01.2019,"3,329",#светлоенегорькое,,,,,https://your.beer/beer/beer-mood-svetloenegorkoe
Beer Of Bear,IPA - American,,"6,5%",41 IBU,,08.11.2022,N/A,"IPA ""Эдельвейс""",,,,,https://your.beer/beer/beer-of-bear-ipa-edelvejs
Beer of the Gods - Wacken Brauerei,Pilsner - German,,"5,3%",40 IBU,,21.07.2016,"3,255",Mjölnir,,,,,https://your.beer/beer/beer-of-the-gods-wacken-brauerei-mjolnir
"Sibeeria, Beer Station",Stout - Imperial / Double Pastry,,"6,8%",,,09.12.2023,"3,902",Growler Imperial Stout,,,,,https://your.beer/beer/sibeeria-growler-imperial-stout
Beer Studio,IPA - Other,,"6,5%",50 IBU,,16.02.2018,"3,484",Equalizer,,,,,https://your.beer/beer/beer-studio-equalizer
Beer Tree Brew,IPA - Imperial / Double New England / Hazy,,"6,8%",,,12.07.2019,"4,12",Time To Pretend,,,,,https://your.beer/beer/beer-tree-brew-time-to-pretend
Beer Tree Brew,IPA - New England / Hazy,,"6,4%",,,28.06.2018,"4,11",Catching Feelings,,,,,https://your.beer/beer/beer-tree-brew-catching-feelings
Beer Tree Brew,IPA - Imperial / Double New England / Hazy,,"6,8%",,,20.02.2019,"4,134",Save That Money,,,,,https://your.beer/beer/beer-tree-brew-save-that-money
"Mason Ale Works, The Answer, Beer Zombies Brewing Co.",IPA - Imperial / Double New England / Hazy,,"6,8%",,,10.05.2021,"3,958",End 2 End Burners,,,,,https://your.beer/beer/mason-ale-works-end-2-end-burners
"Punchiller, Bierstaat, Beer.by",Freeze-Distilled Beer,,"6,8%",,,08.02.2024,"4,578",T-800,,,,,https://your.beer/beer/punchiller-t-800
"Bottle Share, Punchiller, Beer.by, Blur Meadery",Mead - Metheglin,,"6,8%",,,06.12.2022,"4,259",Wormwood Gospel,,,,,https://your.beer/beer/bottle-share-wormwood-gospel
Beer.by,Stout - Milk / Sweet,,"5,7%",12 IBU,,09.02.2024,"4,463",Black Or White,,,,,https://your.beer/beer/beer-by-black-or-white
Beer.by,IPA - Triple,"21,0%","6,8%",70 IBU,"                                                                            Nectaron,                                                                             Waimea                                                                        ",15.05.2024,"4,448",Horo-Koau,,,,,https://your.beer/beer/beer-by-horo-koau
"Beer.by, Punchiller",Pale Ale - American,,"5,8%",14 IBU,"                                                                            Columbus,                                                                             Citra                                                                        ",13.02.2024,"4,264",APArtunity,,,,,https://your.beer/beer/beer-by-apartunity
"Beer.by, Punchiller",Lager - IPL (India Pale Lager),,"5,5%",45 IBU,,21.11.2023,"4,26",Simple Plan,,,,,https://your.beer/beer/beer-by-simple-plan
"Punchiller, Beer.by",IPA - Imperial / Double,,"6,8%",76 IBU,"                                                                            Columbus,                                                                             Citra,                                                                             Amarillo                                                                        ",17.11.2023,"4,53",Machiavellismus,,,Rising Moon Brewery,,https://your.beer/beer/punchiller-machiavellismus
"Gurin Craft, Punchiller, Beer.by",Mead - Melomel,,"6,8%",,,13.10.2023,"4,344",Прыгода,,,,,https://your.beer/beer/gurin-craft-prygoda
"Punchiller, Bottle Share, Beer.by, Blur Meadery",Mead - Traditional,,"6,8%",,,08.09.2023,"4,473",Вечная весна (100 Years of Solitude Edition),,,,,https://your.beer/beer/punchiller-vechnaya-vesna-100-years-of-solitude-edition
"Blur Meadery, Bottle Share, Punchiller, Beer.by",Mead - Melomel,,"6,8%",,,28.11.2022,"4,629",Phloam,,,,,https://your.beer/beer/blur-meadery-phloam
"Beer.by, Bottle Share, Punchiller, Blur Meadery",Mead - Melomel,,"6,8%",,,28.11.2022,"4,451",Viburnium,,,,,https://your.beer/beer/beer-by-viburnium
"Beer.by, Punchiller",IPA - White / Wheat,,"5,8%",40 IBU,"                                                                            Citra,                                                                             Sabro                                                                        ",22.08.2023,"4,312",Sunny Days,,,,,https://your.beer/beer/beer-by-sunny-days
"Beer.by, Punchiller",Mead - Traditional,,"6,8%",,,07.12.2021,"4,274",Honigwein Über Alles,,,,,https://your.beer/beer/beer-by-honigwein-uber-alles
"Punchiller, Bottle Share, Beer.by, Blur Meadery",Mead - Traditional,,"6,8%",,,30.11.2022,"4,51",Вечная весна,,,,,https://your.beer/beer/punchiller-vechnaya-vesna
Beer52,Farmhouse Ale - Saison,,"4,5%",,,19.03.2018,"3,319",Tongariro,,,,,https://your.beer/beer/beer52-tongariro
"Beerbliotek, Brouwerij de Molen",Stout - Imperial / Double,,"6,8%",,,02.02.2019,"4,011",Donker and Ved,,,,,https://your.beer/beer/beerbliotek-donker-and-ved
BeerCap Project,Stout - Milk / Sweet,,"5,5%",20 IBU,,17.09.2020,"3,848",Milk Stout,,,New Riga’s Brewery,                                                                            Lactose                                                                        ,https://your.beer/beer/beercap-project-milk-stout
BeerCap Project,Wheat Beer - American Pale Wheat,,"5,8%",37 IBU,"                                                                            Citra,                                                                             Mosaic                                                                        ",17.09.2020,"3,462",American Weisse,,,New Riga’s Brewery,,https://your.beer/beer/beercap-project-american-weisse
BeerCap Project,Pale Ale - American,,"5,0%",37 IBU,"                                                                            Chinook,                                                                             Centennial,                                                                             El Dorado,                                                                             Citra,                                                                             Amarillo,                                                                             Idaho 7                                                                        ",15.05.2019,"3,706",Ловец снов,,,,,https://your.beer/beer/beercap-project-lovec-snov
BeerCap Project,Belgian Dubbel,,"6,9%",24 IBU,,26.08.2021,"3,69",BeerCap Dubbel 2021,,,,,https://your.beer/beer/beercap-project-beercap-dubbel-2021
BeerCap Project,Stout - Milk / Sweet,,"5,3%",20 IBU,"                                                                            Target,                                                                             Golding                                                                        ",15.05.2019,"3,961",Перо ворона,,,,,https://your.beer/beer/beercap-project-pero-vorona
BeerCap Project,Lager - Pale,,"4,5%",30 IBU,"                                                                            Chinook,                                                                             Centennial,                                                                             Cascade,                                                                             Simcoe                                                                        ",15.05.2019,"3,754",Топор войны,,,,,https://your.beer/beer/beercap-project-topor-vojny
BeerCap Project,Farmhouse Ale - Saison,,"6,8%",30 IBU,,27.05.2019,"3,759",Сезон охоты,,,,,https://your.beer/beer/beercap-project-sezon-ohoty
BeerCap Project,Lager - Helles,,"4,5%",30 IBU,,26.08.2021,"3,378",BeerCap Hop Lager 2021,,,,,https://your.beer/beer/beercap-project-beercap-hop-lager-2021
BeerCap Project,Wheat Beer - Witbier / Blanche,,"4,5%",17 IBU,,26.08.2021,"3,654",BeerCap Blanche 2021,,,,,https://your.beer/beer/beercap-project-beercap-blanche-2021
BeerCap Project,Pale Ale - American,,"5,4%",35 IBU,,26.08.2021,"3,544",BeerCap  APA 2021,,,,,https://your.beer/beer/beercap-project-beercap-apa-2021
BeerCap Project,Lager - Pale,"12,0%","4,5%",30 IBU,"                                                                            Chinook,                                                                             Centennial,                                                                             Cascade,                                                                             Simcoe                                                                        ",17.09.2020,"3,461",Hoppy Lager,,,New Riga’s Brewery,,https://your.beer/beer/beercap-project-hoppy-lager
BeerCap Project,Wheat Beer - American Pale Wheat,,"4,7%",10 IBU,"                                                                            Jarrylo,                                                                             Summit,                                                                             Pekko                                                                        ",15.05.2019,"3,192",Оберег шамана,,,,,https://your.beer/beer/beercap-project-obereg-shamana
BeerCap Project,Pale Ale - Other,,"5,2%",30 IBU,"                                                                            Summit,                                                                             Azacca,                                                                             Equinox,                                                                             Pekko                                                                        ",15.05.2019,"3,614",Трубка мира,,,,,https://your.beer/beer/beercap-project-trubka-mira
Beerdevelopment Viven,Stout - Other,,"6,9%",,,23.01.2019,"3,515",Viven Chocolate Stout,,,,,https://your.beer/beer/beerdevelopment-viven-viven-chocolate-stout
Beerdevelopment Viven,Wheat Beer - Other,,"4,8%",,,06.12.2018,"3,456",Viven Champagner Weisse,,,,,https://your.beer/beer/beerdevelopment-viven-viven-champagner-weisse
Beerdevelopment Viven,IPA - Imperial / Double,,"6,8%",124 IBU,,26.08.2011,"3,636",Viven Imperial IPA,,,,,https://your.beer/beer/beerdevelopment-viven-viven-imperial-ipa
Beerdevelopment Viven,Barleywine - Other,,"6,8%",15 IBU,,29.11.2019,"3,417",Viven Barley Wine,,,,,https://your.beer/beer/beerdevelopment-viven-viven-barley-wine
Beerdevelopment Viven,IPA - American,,"6,8%",50 IBU,,17.01.2015,"3,608",Viven Master IPA,,,,,https://your.beer/beer/beerdevelopment-viven-viven-master-ipa
Beerdevelopment Viven,Belgian Tripel,,"6,8%",,,08.12.2019,"3,287",Viven Premium Tripel,,,,,https://your.beer/beer/beerdevelopment-viven-viven-premium-tripel
Beerdevelopment Viven,Smoked Beer,,"6,8%",,,09.04.2012,"3,458",Viven Smoked Porter,,,,,https://your.beer/beer/beerdevelopment-viven-viven-smoked-porter
Beerdevelopment Viven,Sour - Other,,"4,8%",,,02.02.2019,"3,432",Viven Sour Peach,,,,,https://your.beer/beer/beerdevelopment-viven-viven-sour-peach
Beere Brewing Company,Pale Ale - American,,"5,5%",27 IBU,,21.10.2017,"3,758",Go Easy,,,,,https://your.beer/beer/beere-brewing-company-go-easy
"Õllenaut, Bottle Share, BeerExpert Brewing Project",Stout - Russian Imperial,,"6,8%",,,19.08.2016,N/A,Must Mari,,,,,https://your.beer/beer/ollenaut-must-mari
Beerfest Singapore,Fruit Beer,,,,,02.05.2015,"3,014",Cherry Ruby,,,,,https://your.beer/beer/beerfest-singapore-cherry-ruby
"TankBusters.Co, BeerFreak.org",IPA - New England / Hazy,,"6,0%",55 IBU,,18.08.2023,"4,008",Brother In Arms,,,,,https://your.beer/beer/tankbusters-co-brother-in-arms
"Ten Men Brewery, BeerFreak.org",IPA - New England / Hazy,,"6,8%",,,17.08.2023,"4,084",Middle of the Sharing IPA,,,,,https://your.beer/beer/ten-men-brewery-middle-of-the-sharing-ipa
"Пивна легенда, BeerFreak.org",Lager - IPL (India Pale Lager),,"5,1%",42 IBU,,23.12.2023,"3,792",Be Drinkable,,,,,https://your.beer/beer/pivna-legenda-be-drinkable
BeerFreak.org,IPA - American,,"6,5%",35 IBU,,15.09.2023,N/A,Kharkiv At Night,,,,,https://your.beer/beer/beerfreak-org-kharkiv-at-night
"Hoppy Hog, BeerFreak.org",IPA - Milkshake,,"5,5%",20 IBU,,18.08.2023,"3,846",Freaky Hog,,,,,https://your.beer/beer/hoppy-hog-family-brewery-freaky-hog
"Пивна легенда, BeerFreak.org",IPA - American,,"6,5%",55 IBU,,10.03.2023,"3,761",Vokzal,,,,,https://your.beer/beer/pivna-legenda-vokzal
"Пивна легенда, BeerFreak.org",IPA - American,,"5,8%",40 IBU,,21.07.2023,"3,733",MARKET,,,,,https://your.beer/beer/pivna-legenda-market
"Пивна легенда, BeerFreak.org",Belgian Tripel,,"6,8%",,,11.03.2024,"3,449",Mastodon Moonshine,,,,,https://your.beer/beer/pivna-legenda-mastodon-moonshine
"Пивна легенда, BeerFreak.org",Belgian Tripel,,"6,8%",23 IBU,,18.08.2023,"3,673",Mastodon,,,,,https://your.beer/beer/pivna-legenda-mastodon
"Пивна легенда, BeerFreak.org",IPA - American,,"6,0%",55 IBU,,21.04.2023,"3,751",Kharkiv Calling,,,,,https://your.beer/beer/pivna-legenda-kharkiv-calling
"Театр пива Правда, BeerFreak.org",Pilsner - New Zealand,,"5,0%",25 IBU,,15.08.2023,"4,021",HAKA PILS,,,,,https://your.beer/beer/pravda-brewery-haka-pils
"Father's Brewery, BeerFreak.org",IPA - Imperial / Double New England / Hazy,,"6,8%",30 IBU,,18.08.2023,"4,155",Lord of Nectaron,,,,,https://your.beer/beer/father-s-brewery-lord-of-nectaron
"SHO Brewery, BeerFreak.org",Golden Ale - Ukrainian,,"6,1%",20 IBU,,20.06.2024,"3,866",999.9,,,,,https://your.beer/beer/sho-brewery-iiio-999-9
"Пивна легенда, BeerFreak.org",IPA - American,,"5,5%",35 IBU,,30.04.2024,"3,826",IronStone IPA,,,,,https://your.beer/beer/pivna-legenda-ironstone-ipa
"Magic Road, BeerFreak.org",IPA - New England / Hazy,,"5,8%",,,18.08.2023,"4,017",I Think You're Freaky,,,,,https://your.beer/beer/magic-road-i-think-you-re-freaky
"Пивна легенда, BeerFreak.org",IPA - American,,"6,0%",55 IBU,,12.01.2023,"3,957",Pivnichna Saltivka,,,,,https://your.beer/beer/pivna-legenda-pivnichna-saltivka
"Пивна легенда, BeerFreak.org",,,"4,5%",28 IBU,,28.12.2023,"3,937",Димна Помста,,,,,https://your.beer/beer/pivna-legenda-dimna-pomsta
"Пивна легенда, BeerFreak.org",IPA - American,,"6,2%",55 IBU,,26.05.2023,"3,916",KVITKA,,,,,https://your.beer/beer/pivna-legenda-kvitka
"Zen Brewery, BeerFreak.org",Sour - Fruited,,"6,8%",5 IBU,,18.08.2023,"3,982",Cherry Kiss,,,,,https://your.beer/beer/zen-cherry-kiss
"Diysno Brewery, BeerFreak.org",IPA - Imperial / Double New England / Hazy,,"6,8%",10 IBU,,18.08.2023,"3,894",The Boss,,,,,https://your.beer/beer/diysno-brewery-the-boss
"Silver Spoon Brewery, Zen Brewery, BeerFreak.org",Mead - Melomel,,"6,8%",,,23.01.2022,N/A,Malinowy Mjød 2021 George Dickel BA,,,,,https://your.beer/beer/silver-spoon-brewery-malinowy-mjod-2021-george-dickel-ba
"Silver Spoon Brewery, Browar Rockmill, Zen Brewery, BeerFreak.org",Mead - Melomel,,"6,8%",,,19.06.2022,"4,4",Apricot Meadness,,,,,https://your.beer/beer/silver-spoon-brewery-apricot-meadness
"Zen Brewery, BeerFreak.org, Hopito",Sour - Fruited,,"6,8%",10 IBU,,23.08.2021,"3,971",GRUBA IMPREZA: Blueberry Banana Coconut Triple Pastry Oat Cream Sour,,,,,https://your.beer/beer/zen-brewery-gruba-impreza-blueberry-banana-coconut-triple-pastry-oat-cream-sour
"BeerFreak.org, Пивна легенда",Porter - American,,"5,8%",26 IBU,,17.05.2022,"3,951",Kharkiv Porter,,,,,https://your.beer/beer/beerfreak-org-kharkiv-porter
BeerFreak.org,IPA - Triple New England / Hazy,,"6,8%",,,25.02.2021,"4,064",21.21.21,,,,,https://your.beer/beer/beerfreak-org-21-21-21
"Ten Men Brewery, BeerFreak.org",Sour - Fruited,,"6,8%",16 IBU,,09.10.2020,"4,34",AWP Headshot: Apricot with Peach Weaponized Stonefruit Sour,,,,,https://your.beer/beer/ten-men-brewery-awp-headshot-apricot-with-peach-weaponized-stonefruit-sour
"Zen Brewery, Browar Rockmill, BeerFreak.org, Silver Spoon Brewery",Stout - Imperial / Double Pastry,,"6,8%",50 IBU,,23.06.2022,"3,986",100 Seсonds To Midnight: Peanut x Coconut ,,,,,https://your.beer/beer/zen-100-sesonds-to-midnight-peanut-x-coconut
"Ten Men Brewery, BeerFreak.org",Sour - Fruited Berliner Weisse,,"4,5%",12 IBU,,11.08.2020,"4,234",Machete Chills: Pineapple Cinnabon Candy Sour,,,,,https://your.beer/beer/ten-men-brewery-machete-chills-pineapple-cinnabon-candy-sour
"Ten Men Brewery, BeerFreak.org",Sour - Fruited Berliner Weisse,,"4,5%",12 IBU,,19.08.2020,"4,247",Machete Kills: Pineapple Cinnabon Chilli Capsi Sour,,,,,https://your.beer/beer/ten-men-brewery-machete-kills-pineapple-cinnabon-chilli-capsi-sour
"BeerFreak.org, Пивна легенда",Porter - American,,"5,3%",23 IBU,,01.11.2022,"4,063",Помста Портер,,,,,https://your.beer/beer/beerfreak-org-pomsta-porter
Beerlab,Cider - Other Fruit,,"4,0%",,,15.05.2023,N/A,Сидр черная смородина,,,,,https://your.beer/beer/beerlab-sidr-chernaya-smorodina
Beerline (Бирлайн),Lager - Pale,,"4,5%",,,09.04.2021,N/A,Златовар,,,,,https://your.beer/beer/beerline-birlajn-zlatovar
Beerline (Бирлайн),Lager - Pale,,"4,1%",,,27.03.2022,N/A,Жигули.Классика.,,,,,https://your.beer/beer/beerline-birlajn-zhiguli-klassika
Beermaster Brew,IPA - Imperial / Double New England / Hazy,,"6,8%",,,31.05.2021,"3,978",Wild Storm,,,,,https://your.beer/beer/beermaster-brew-wild-storm
Beermaster Brew,Pilsner - Imperial / Double,,"6,8%",40 IBU,,14.04.2021,"3,751",Trembling String,,,,,https://your.beer/beer/beermaster-brew-trembling-string
Beermaster Brew,IPA - American,,"6,5%",55 IBU,,27.08.2021,"3,729",Top Ten Hops,,,,,https://your.beer/beer/beermaster-brew-top-ten-hops
"Varvar Brew, Beermaster Brew",Sour - Traditional Gose,,"4,6%",11 IBU,,22.05.2021,"3,759",Beermaster Brew White Lime & Ginger Gose,,,,,https://your.beer/beer/varvar-brew-beermaster-brew-white-lime-and-ginger-gose
"Underwood Brewery, Beermaster Brew",Stout - Pastry,,"5,0%",20 IBU,,16.12.2021,"3,945",SQUIRREL,,,,,https://your.beer/beer/underwood-brewery-squirrel
Beermaster Brew,Stout - Milk / Sweet,,"6,5%",,,18.05.2021,"3,73",Peat Bog Spirit,,,,,https://your.beer/beer/beermaster-brew-peat-bog-spirit
Beermaster Brewery,Pale Ale - American,,"5,0%",35 IBU,,04.05.2023,"3,912",Tropical Monsoon,,,,,https://your.beer/beer/beermaster-brewery-tropical-monsoon
Beermaster Brewery,Lager - American,,"3,5%",18 IBU,,16.02.2022,"3,613",Enjoy 10,,,,,https://your.beer/beer/beermaster-brewery-enjoy-10
"SHO Brewery, Beermaster Brewery",Wheat Beer - Witbier / Blanche,,"4,5%",15 IBU,,17.04.2024,"3,875",Бланш Степовий,,,,,https://your.beer/beer/sho-brewery-iiio-blansh-stepovij
Beermaster Brewery,Sour - Other,,"3,0%",18 IBU,,15.08.2023,"4,254",YellowMichelada,,,,,https://your.beer/beer/beermaster-brewery-yellowmichelada
Beermaster Brewery,Wheat Beer - Hefeweizen,,"5,5%",12 IBU,,16.02.2022,"3,745",Polonez,,,,,https://your.beer/beer/beermaster-brewery-polonez
Beermaster Brewery,Sour - Other Gose,,"3,0%",,,11.08.2023,"3,57",GoseTonic,,,,,https://your.beer/beer/beermaster-brewery-gosetonic
"Underwood Brewery, Beermaster Brewery",Bock - Single / Traditional,,"6,8%",35 IBU,,06.12.2023,"3,726",GOLDEN GOAT,,,,,https://your.beer/beer/underwood-brewery-golden-goat
Beermats Brewing Co,Stout - English,,"4,6%",,,25.10.2017,"3,56",Diplomat,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beermats-diplomat
Beermats Brewing Co,Bitter - Session / Ordinary,,"3,8%",,,12.11.2017,"3,321",Pragmatic,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beermats-pragmatic
Beermats Brewing Co,Red Ale - Other,,"4,9%",,,02.11.2017,"3,416",Ultimate,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beermats-ultimate
Beermats Brewing Co,Pale Ale - English,,"3,9%",,,15.11.2017,"3,352",Teammates,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beermats-teammates
Beermats Brewing Co,Blonde / Golden Ale - Other,,"4,2%",,"                                                                            Cascade,                                                                             Northdown                                                                        ",25.10.2017,"3,329",Soulmate,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/beermats-soulmate
BEERMUDA,Wheat Beer - Hefeweizen,,"5,0%",13 IBU,,20.09.2023,"3,539",Weizen,,,,,https://your.beer/beer/beermuda-weizen
Beers For Nature,Belgian Blonde,,"4,8%",,,20.06.2013,"3,2",Bufo,,,,,https://your.beer/beer/beers-for-nature-bufo
Beerstarter,Blonde Ale,,,,,23.08.2017,N/A,Biomutant Belgian Blond Ale,,,,,https://your.beer/beer/beerstarter-biomutant-belgian-blond-ale
BEERVARIA,Sour - Smoothie / Pastry,,"5,0%",,,24.12.2023,"3,729",Мэддисон Торт Новогодний с клубникой,,,,,https://your.beer/beer/beervaria-meddison-tort-novogodnij-s-klubnikoj
BEERVARIA,Sour - Other Gose,,"5,0%",,,24.12.2023,"2,648",Мясо по-французски,,,,,https://your.beer/beer/beervaria-myaso-po-francuzski
BEERVARIA,IPA - Other,,"6,8%",45 IBU,,22.11.2023,"3,841",ВЫЖИВАЛОВО,,,,,https://your.beer/beer/beervaria-vyzhivalovo
BEERVARIA,Sour - Other Gose,,"4,5%",25 IBU,,10.10.2022,"3,57",Жижка из салата,,,,,https://your.beer/beer/beervaria-zhizhka-iz-salata
"BEERVARIA, Волковская пивоварня",Bock - Doppelbock,,"6,8%",15 IBU,,25.02.2024,"3,767",Серый волк,,,,,https://your.beer/beer/beervaria-seryj-volk
BEERVARIA,Sour - Other Gose,,"4,5%",,,17.11.2023,"3,251",Похмельный суп,,,,,https://your.beer/beer/beervaria-pohmelnyj-sup
BeerZelis,IPA - Session,,"4,7%",27 IBU,,19.11.2018,N/A,IPA (Индийский пейл-эль),,,,,https://your.beer/beer/beerzelis-ipa-indijskij-pejl-el
Beerёza,Stout - Irish Dry,,"4,5%",,,20.01.2022,N/A,Wild Rover,,,,,https://your.beer/beer/beeryoza-wild-rover
Beerёza,Sour - Traditional Gose,,"4,5%",5 IBU,,02.05.2018,"3,745",Take Two,,                                        постоянный выпуск                                     ,,                                                                            Sea buckthorn                                                                        ,https://your.beer/beer/beeryoza-take-two
"Heart of Darkness, Behemoth",Pale Ale - American,,"5,7%",37 IBU,                                                                            Mosaic                                                                        ,11.12.2017,"3,679",Dream Alone,,                                        постоянный выпуск                                     ,,,https://your.beer/beer/heart-of-darkness-brewery-saigon-dream-alone
Belching Beaver Brewery,Stout - Milk / Sweet,,"5,3%",30 IBU,,05.04.2014,"3,987",Peanut Butter Milk Stout,,,,,https://your.beer/beer/belching-beaver-brewery-peanut-butter-milk-stout
Belgian Brew Factory,Brown Ale - Belgian,,"6,8%",,,13.03.2021,"3,584",Bruler Brune,,,,,https://your.beer/beer/belgian-brew-factory-bruler-brune
Belgian Brew Factory,Belgian Blonde,,"6,8%",,,15.03.2021,"3,571",Bruler Blonde,,,,,https://your.beer/beer/belgian-brew-factory-bruler-blonde
Belgica,Wheat Beer - Witbier / Blanche,,,,,17.01.2022,N/A,Blanche,,,,,https://your.beer/beer/belgica-blanche
Belgica,Pale Ale - Belgian,,"4,8%",25 IBU,,09.07.2020,"3,406",Old Fashion,,,,,https://your.beer/beer/belgica-old-fashion
Belgo Sapiens Brewers,Wheat Beer - Witbier / Blanche,,"4,8%",19 IBU,,01.10.2015,"3,255",Blanche de Thines,,,,,https://your.beer/beer/belgo-sapiens-brewers-blanche-de-thines
