Пивоварня,Стиль,Алкоголь,Начало выпуска,Рейтинг,Пиво,Горечь,Плотность,Ссылка
SOC Brewing Inc.,IPA - American,"6,8%",29.04.2023,"3,619",Juicy Storm,20 IBU,,https://your.beer/beer/soc-brewing-inc-juicy-storm
Sozhski Beer,IPA - New England / Hazy,"6,9%",31.07.2024,N/A,Tropicana,50 IBU,,https://your.beer/beer/sozhski-beer-tropicana
"Strange Toys, Teréna Térena",IPA - Sour,"4,3%",29.07.2024,"4,184",It's Ok To Be Bro,25 IBU,,https://your.beer/beer/strange-toys-it-s-ok-to-be-bro
The Bad Beaver!,Sour - Fruited,"4,9%",24.07.2024,N/A,"BLOSSOM: Cranberry, Grapefruit & Linden Flowers",7 IBU,,https://your.beer/beer/the-bad-beaver-blossom-cranberry-grapefruit-and-linden-flowers
Velka Morava,IPA - New England / Hazy,"6,8%",29.07.2024,"4,164",Nectar Haze,,,https://your.beer/beer/velka-morava-nectar-haze
Volta Brewery,Sour - Smoothie / Pastry,"5,2%",31.07.2024,N/A,DOPAMINE SMOOOOTHIE SOUR,10 IBU,,https://your.beer/beer/volta-brewery-dopamine-smoooothie-sour
Volta Brewery,Sour - Tomato / Vegetable Gose,"5,2%",31.07.2024,N/A,PEPPER X,10 IBU,,https://your.beer/beer/volta-brewery-pepper-x
Wild Hills Brewery,Sour - Fruited,"6,0%",26.04.2024,"4,151","Sour Ale Ананас, Лайм, Белая гуава",,,https://your.beer/beer/wild-hills-brewery-sour-ale-ananas-lajm-belaya-guava
Wild Hills Brewery,Sour - Tomato / Vegetable Gose,"6,5%",26.04.2024,"4,263",Vegetable Gose Кимчи,,,https://your.beer/beer/wild-hills-brewery-vegetable-gose-kimchi
Wychwood Brewery,Stout - English,"4,1%",08.03.2023,"3,356",Hobgoblin Stout,,,https://your.beer/beer/wychwood-brewery-hobgoblin-stout
Zagovor Brewery,Pale Ale - New England / Hazy,"5,2%",30.07.2024,"4,175",Spirals,30 IBU,,https://your.beer/beer/zagovor-brewery-spirals
